Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
		17417	24400		1.711000	
		17455	24500		1.706000	
		17494	24600		1.698000	
		17539	24700		1.724000	
		17579	24800		1.693000	
		17620	24900		1.737000	
		17664	25000		1.728000	
		17711	25100		1.669000	
		17751	25200		1.716000	
		17790	25300		1.577000	
		17838	25400		1.616000	
		17872	25500		1.571000	
		17911	25600		1.564000	
		17956	25700		1.573000	
		17992	25800		1.581000	
		18027	25900		1.493000	
		18069	26000		1.495000	
		18113	26100		1.465000	
		18148	26200		1.403000	
		18191	26300		1.429000	
		18231	26400		1.328000	
		18274	26500		1.397000	
		18317	26600		1.398000	
		18366	26700		1.473000	
		18406	26800		1.504000	
		18445	26900		1.477000	
		18479	27000		1.490000	
		18518	27100		1.506000	
		18552	27200		1.557000	
		18587	27300		1.531000	
		18626	27400		1.500000	
		18666	27500		1.481000	
		18708	27600		1.472000	
		18755	27700		1.430000	
		18793	27800		1.435000	
		18835	27900		1.517000	
		18874	28000		1.508000	
		18913	28100		1.496000	
		18949	28200		1.457000	
		18986	28300		1.454000	
		19022	28400		1.474000	
		19051	28500		1.383000	
		19091	28600		1.374000	
		19128	28700		1.358000	
		19162	28800		1.374000	
		19195	28900		1.389000	
		19243	29000		1.447000	
		19282	29100		1.433000	
		19321	29200		1.471000	
		19355	29300		1.443000	
		19388	29400		1.487000	
		19428	29500		1.511000	
		19460	29600		1.521000	
		19500	29700		1.449000	
		19533	29800		1.452000	
		19567	29900		1.346000	
		19610	30000		1.319000	
		19650	30100		1.386000	
		19691	30200		1.376000	
		19725	30300		1.436000	
		19755	30400		1.366000	
		19796	30500		1.407000	
		19838	30600		1.537000	
		19878	30700		1.579000	
		19918	30800		1.563000	
		19952	30900		1.570000	
		19993	31000		1.548000	
		20033	31100		1.497000	
		20077	31200		1.498000	
		20116	31300		1.439000	
		20154	31400		1.425000	
		20189	31500		1.399000	
		20228	31600		1.271000	
		20262	31700		1.289000	
		20301	31800		1.269000	
		20337	31900		1.274000	
		20368	32000		1.233000	
		20407	32100		1.216000	
		20446	32200		1.183000	
		20483	32300		1.265000	
		20525	32400		1.322000	
		20559	32500		1.307000	
		20593	32600		1.308000	
		20633	32700		1.240000	
		20667	32800		1.246000	
		20699	32900		1.247000	
		20738	33000		1.275000	
		20778	33100		1.363000	
		20816	33200		1.409000	
		20854	33300		1.378000	
		20884	33400		1.339000	
		20923	33500		1.367000	
		20963	33600		1.358000	
		21004	33700		1.401000	
		21040	33800		1.365000	
		21079	33900		1.395000	
		21117	34000		1.525000	
		21140	34100		1.408000	
		21174	34200		1.353000	
		21207	34300		1.282000	
		21238	34400		1.271000	
		21280	34500		1.329000	
		21307	34600		1.281000	
		21351	34700		1.252000	
		21395	34800		1.343000	
		21426	34900		1.313000	
		21465	35000		1.197000	
		21500	35100		1.264000	
		21532	35200		1.257000	
		21572	35300		1.303000	
		21612	35400		1.339000	
		21643	35500		1.266000	
		21677	35600		1.271000	
		21711	35700		1.254000	
		21747	35800		1.165000	
		21783	35900		1.166000	
		21815	36000		1.155000	
		21848	36100		1.104000	
		21878	36200		1.092000	
		21903	36300		1.038000	
		21937	36400		1.009000	
		21969	36500		1.000000	
		22000	36600		1.038000	
		22029	36700		1.007000	
		22056	36800		1.018000	
		22087	36900		1.057000	
		22126	37000		1.060000	
		22148	37100		1.021000	
		22182	37200		1.074000	
		22220	37300		1.130000	
		22251	37400		1.168000	
		22284	37500		1.178000	
		22316	37600		1.187000	
		22349	37700		1.195000	
		22378	37800		1.191000	
		22414	37900		1.195000	
		22451	38000		1.244000	
		22487	38100		1.272000	
		22519	38200		1.233000	
		22554	38300		1.230000	
		22594	38400		1.225000	
		22629	38500		1.236000	
		22658	38600		1.206000	
		22693	38700		1.268000	
		22723	38800		1.253000	
		22754	38900		1.192000	
		22786	39000		1.123000	
		22818	39100		1.127000	
		22859	39200		1.122000	
		22892	39300		1.105000	
		22927	39400		1.078000	
		22962	39500		1.075000	
		23000	39600		1.101000	
		23032	39700		1.057000	
		23061	39800		1.103000	
		23093	39900		1.160000	
		23123	40000		1.294000	
		23159	40100		1.331000	
		23195	40200		1.342000	
		23232	40300		1.331000	
		23264	40400		1.321000	
		23293	40500		1.326000	
		23318	40600		1.269000	
		23348	40700		1.263000	
		23381	40800		1.289000	
		23411	40900		1.239000	
		23440	41000		1.117000	
		23481	41100		1.154000	
		23511	41200		1.117000	
		23547	41300		1.139000	
		23577	41400		1.129000	
		23612	41500		1.095000	
		23653	41600		1.131000	
		23685	41700		1.117000	
		23716	41800		1.041000	
		23750	41900		1.027000	
		23786	42000		1.000000	
		23823	42100		0.928000	
		23852	42200		0.928000	
		23886	42300		0.905000	
		23914	42400		0.913000	
		23951	42500		0.947000	
		23988	42600		0.932000	
		24020	42700		0.973000	
		24046	42800		0.955000	
		24073	42900		0.969000	
		24114	43000		1.023000	
		24150	43100		1.031000	
		24178	43200		1.050000	
		24208	43300		1.098000	
		24243	43400		1.116000	
		24282	43500		1.098000	
		24316	43600		1.074000	
		24349	43700		1.081000	
		24386	43800		1.111000	
		24418	43900		1.110000	
		24447	44000		1.062000	
		24474	44100		1.078000	
		24507	44200		1.086000	
		24536	44300		1.010000	
		24577	44400		1.055000	
		24607	44500		1.052000	
		24636	44600		1.071000	
		24667	44700		1.038000	
		24700	44800		1.045000	
		24729	44900		1.063000	
		24762	45000		1.136000	
		24794	45100		1.138000	
		24831	45200		1.173000	
		24858	45300		1.178000	
		24887	45400		1.115000	
		24926	45500		1.155000	
		24952	45600		1.162000	
		24984	45700		1.168000	
		25015	45800		1.146000	
		25044	45900		1.104000	
		25075	46000		1.044000	
		25098	46100		0.971000	
		25127	46200		0.942000	
		25152	46300		0.936000	
		25175	46400		0.903000	
		25208	46500		0.875000	
		25232	46600		0.898000	
		25261	46700		0.893000	
		25290	46800		0.935000	
		25320	46900		0.987000	
		25348	47000		0.956000	
		25374	47100		0.982000	
		25399	47200		0.958000	
		25442	47300		1.028000	
		25476	47400		1.054000	
		25511	47500		1.042000	
		25543	47600		1.028000	
		25580	47700		1.065000	
		25613	47800		1.053000	
		25636	47900		1.009000	
		25675	48000		1.043000	
		25696	48100		1.032000	
		25724	48200		1.028000	
		25758	48300		0.996000	
		25785	48400		1.030000	
		25809	48500		1.052000	
		25835	48600		1.083000	
		25873	48700		1.049000	
		25913	48800		1.061000	
		25945	48900		1.119000	
		25971	49000		1.098000	
		26004	49100		1.125000	
		26030	49200		1.151000	
		26052	49300		1.102000	
		26084	49400		1.079000	
		26111	49500		1.038000	
		26137	49600		0.992000	
		26174	49700		0.979000	
		26208	49800		0.952000	
		26233	49900		0.905000	
		26251	50000		0.884000	
		26281	50100		0.902000	
		26312	50200		0.909000	
		26341	50300		0.915000	
		26366	50400		0.946000	
		26392	50500		0.945000	
		26429	50600		0.949000	
		26454	50700		0.915000	
		26487	50800		0.883000	
		26514	50900		0.857000	
		26543	51000		0.876000	
		26568	51100		0.853000	
		26594	51200		0.877000	
		26623	51300		0.891000	
		26648	51400		0.838000	
		26675	51500		0.883000	
		26708	51600		0.920000	
		26736	51700		0.956000	
		26766	51800		0.972000	
		26798	51900		0.997000	
		26823	52000		1.002000	
		26849	52100		1.013000	
		26881	52200		0.970000	
		26908	52300		0.959000	
		26934	52400		0.989000	
		26969	52500		0.974000	
		26998	52600		0.940000	
		27026	52700		0.916000	
		27050	52800		0.894000	
		27086	52900		0.928000	
		27114	53000		0.947000	
		27142	53100		0.933000	
		27165	53200		0.890000	
		27194	53300		0.908000	
		27227	53400		0.918000	
		27264	53500		0.891000	
		27289	53600		0.860000	
		27317	53700		0.886000	
		27348	53800		0.921000	
		27373	53900		0.875000	
		27407	54000		0.878000	
		27436	54100		0.857000	
		27472	54200		0.920000	
		27495	54300		0.908000	
		27521	54400		0.891000	
		27553	54500		0.940000	
		27582	54600		0.942000	
		27613	54700		0.947000	
		27638	54800		0.920000	
		27670	54900		0.917000	
		27697	55000		0.936000	
		27731	55100		1.062000	
		27757	55200		1.025000	
		27786	55300		1.043000	
		27812	55400		1.018000	
		27845	55500		0.999000	
		27870	55600		1.018000	
		27900	55700		1.019000	
		27924	55800		1.047000	
		27954	55900		1.071000	
		27983	56000		1.082000	
		28002	56100		0.939000	
		28032	56200		0.959000	
		28059	56300		0.952000	
		28088	56400		0.983000	
		28119	56500		0.953000	
		28146	56600		0.932000	
		28169	56700		0.897000	
		28197	56800		0.881000	
		28224	56900		0.861000	
		28246	57000		0.775000	
		28269	57100		0.783000	
		28298	57200		0.836000	
		28321	57300		0.807000	
		28358	57400		0.845000	
		28387	57500		0.868000	
		28412	57600		0.857000	
		28434	57700		0.860000	
		28467	57800		0.889000	
		28493	57900		0.869000	
		28519	58000		0.898000	
		28537	58100		0.923000	
		28562	58200		0.833000	
		28594	58300		0.899000	
		28623	58400		0.865000	
		28660	58500		0.852000	
		28689	58600		0.866000	
		28714	58700		0.899000	
		28737	58800		0.832000	
		28763	58900		0.841000	
		28792	59000		0.866000	
		28822	59100		0.904000	
		28842	59200		0.895000	
		28873	59300		0.867000	
		28900	59400		0.837000	
		28925	59500		0.815000	
		28948	59600		0.802000	
		28975	59700		0.778000	
		28998	59800		0.797000	
		29030	59900		0.849000	
		29054	60000		0.821000	
		29081	60100		0.804000	
		29111	60200		0.847000	
		29140	60300		0.825000	
		29164	60400		0.834000	
		29195	60500		0.839000	
		29212	60600		0.838000	
		29245	60700		0.867000	
		29271	60800		0.884000	
		29295	60900		0.909000	
		29316	61000		0.865000	
		29347	61100		0.849000	
		29367	61200		0.799000	
		29396	61300		0.800000	
		29432	61400		0.876000	
		29457	61500		0.859000	
		29482	61600		0.863000	
		29506	61700		0.845000	
		29537	61800		0.850000	
		29566	61900		0.791000	
		29590	62000		0.816000	
		29621	62100		0.873000	
		29641	62200		0.903000	
		29664	62300		0.901000	
		29689	62400		0.804000	
		29718	62500		0.813000	
		29749	62600		0.834000	
		29772	62700		0.818000	
		29794	62800		0.793000	
		29816	62900		0.765000	
		29846	63000		0.779000	
		29872	63100		0.716000	
		29896	63200		0.728000	
		29919	63300		0.716000	
		29948	63400		0.741000	
		29975	63500		0.738000	
		30001	63600		0.730000	
		30029	63700		0.766000	
		30053	63800		0.782000	
		30079	63900		0.825000	
		30105	64000		0.833000	
		30132	64100		0.831000	
		30163	64200		0.837000	
		30184	64300		0.864000	
		30210	64400		0.835000	
		30228	64500		0.822000	
		30250	64600		0.816000	
		30277	64700		0.776000	
		30294	64800		0.750000	
		30319	64900		0.720000	
		30344	65000		0.722000	
