ocreval Accuracy Report Version 7.0
-----------------------------------
  314118   Characters
    4983   Errors
   98.41%  Accuracy

       9   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   98.42%  Accuracy After Correction

     Ins    Subst      Del   Errors
       2        0   {/}-{ |}
       2        0   {/}-{#y}
       2        0   {/¹}-{f}
       2        0   {0³}-{%}
       2        0   {1"}-{x'}
       2        0   {1-}-{FP}
       2        0   {1-}-{F}
       2        0   {1-}-{TM}
       2        0   {44}-{}
       2        0   {4}-{}
       2        0   {:}-{}
       2        0   {:²}-{}
       2        0   {A'}-{.Y}
       2        0   {E}-{1 }
       2        0   {F}-{1 }
       2        0   {F}-{E}
       2        0   {G}-{(}
       2        0   {I.}-{L}
       2        0   {I}-{E}
       2        0   {I}-{|}
       2        0   {J}-{)]}
       2        0   {LL}-{EE}
       2        0   {S}-{s}
       2        0   {T_}-{F }
       2        0   {T}-{EF}
       2        0   {T}-{E}
       2        0   {U}-{l }
       2        0   {\ }-{ I}
       2        0   {a}-{m}
       2        0   {d⁴}-{&}
       2        0   {g}-{q}
       2        0   {h(}-{W}
       2        0   {k}-{K}
       2        0   {l-}-{E}
       2        0   {lv}-{tw}
       2        0   {l}-{U}
       2        0   {l}-{f}
       2        0   {l}-{|}
       2        0   {n }-{}
       2        0   {n}-{}
       2        0   {o}-{a}
       2        0   {sc}-{SC}
       2        0   {s}-{}
       2        0   {t }-{e}
       2        0   {un}-{w}
       2        0   {u}-{w}
       2        0   {v_}-{w }
       2        0   {v}-{mw}
       2        0   {v}-{y}
       2        0   {x}-{X}
       2        0   {y}-{; }
       2        0   {y}-{Y}
       2        0   {{}-{¥£}
       2        0   {}-{-}
       2        0   {}-{. }
       2        0   {}-{11}
       2        0   {}-{1}
       2        0   {}-{3 }
       2        0   {}-{9<\n>}
       2        0   {}-{=}
       2        0   {}-{A}
       2        0   {}-{D}
       2        0   {}-{J}
       2        0   {}-{L}
       2        0   {}-{M}
       2        0   {}-{c}
       2        0   {}-{l}
       2        0   {}-{u}
       2        0   {}-{|}
       2        0   {}-{}}
